time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0.0001,28.32604052696926,2.557859776181278,0.5001382963469663,0.5026304886485399,0.716367208929465,2689,12497500,0.9847419106502845
0.0002,88.99712437444332,4.228252189954269,0.5001383047714789,0.5026304743471075,0.716367062235622,2611,12497500,0.9847370206810603
0.0003,160.0781712245807,5.52714935299047,0.5001383131959901,0.5026304600456726,0.7163668174417847,2539,12497500,0.9847320326118361
0.0004,229.9840339293685,6.420670880938263,0.5001383216205024,0.5026304457442373,0.7163664745479426,2479,12497500,0.9849119945804138
0.0005,292.7178857529287,7.004779943568281,0.5001383300450164,0.5026304356518455,0.7163660335541054,2422,12497500,0.9851214534718985
0.0006000000000000001,345.0935621511955,7.431670639597201,0.500138338469527,0.502630430019871,0.7163654906130318,2380,12497500,0.9853311791958123
0.0007000000000000001,385.6742046366684,7.719854607000465,0.5001383468940399,0.5026304289377176,0.7163648401070106,2320,12497500,0.985535113799652
0.0008,414.2751955089975,8.025828981078011,0.5001383639681088,0.50263042838919,0.7163640816159487,2261,12497500,0.9857283046001158
0.0009000000000000001,431.9248024625182,8.328426892666309,0.5001383884147237,0.5026304283216584,0.7163632046816041,2163,12497500,0.9859179413778498
0.001,441.3455320730531,8.552757914324308,0.5001384146885706,0.5026304252922487,0.7163622094077458,1430,12497500,0.9861704844404092
0.0011,446.5179749195583,8.707686044512077,0.5001384428461946,0.5026304193403826,0.7163610907103131,1201,12497500,0.986400837170458
0.0012,448.9579137653416,8.801051526489577,0.5001384678525767,0.5026304213273722,0.7163598493486257,1008,12497500,0.9866063983452189
0.0013,449.5754901803527,8.841486383951064,0.5001384898993002,0.5026304309870603,0.716358482529563,872,12497500,0.9867857160792666
0.0014,449.2661219277149,8.84181329270473,0.5001385091707862,0.5026304451637317,0.7163569913883593,729,12497500,0.9869385544134127
0.0015,448.1441468967678,8.436721746751534,0.5001385320707136,0.5026304636469114,0.7163553705041126,637,12497500,0.9870663537155979
0.0016,446.6681094258847,8.426762441817486,0.500138566265856,0.5026304907653223,0.7163536212987868,569,12497500,0.9871705745930419
0.0017,445.0087707332386,8.426532235313731,0.5001386184466494,0.502630520295516,0.7163517441941664,515,12497500,0.9872526874929634
0.0018,443.3479237878047,8.426302136729912,0.5001386885407834,0.5026305362729429,0.7163497407295581,469,12497500,0.9873453290218177
0.0019,441.7672853920186,8.426072146074869,0.5001387759429509,0.5026305389670653,0.7163476124729049,442,12497500,0.9874173876387641
0.002,439.8380410781436,8.425842263357438,0.5001388795200999,0.5026305287018245,0.7163453610101896,432,12497500,0.9874687271754041
0.0021,438.2232824153339,8.425612488586456,0.5001389985726302,0.5026305058489018,0.7163429879352969,414,12497500,0.9875008769732073
0.0022,436.4324635351488,8.425382821770754,0.5001391323623569,0.5026304708213238,0.7163404861494952,407,12497500,0.987515344266531
0.0023,434.4664251881738,8.42515326291916,0.5001392782466636,0.5026304240673569,0.7163378574963576,406,12497500,0.9875136072527332
0.0024,432.6112189996792,8.424923812040499,0.5001394354915413,0.502630366064757,0.7163350988479329,406,12497500,0.9874971089461841
0.0025,430.6817257542716,8.424694469143594,0.500139603350758,0.5026302992722745,0.7163322002391361,404,12497500,0.9874672517830935
0.0026,428.5430084082861,8.424465234237264,0.5001397810766237,0.5026302241495326,0.7163291635335497,400,12497500,0.987508431305128
0.0027,426.3293537650506,8.424236107330325,0.5001399632838814,0.5026301411646104,0.7163259904955606,400,12497500,0.9875509611257253
0.0028,424.1348761364488,8.424007088431587,0.5001401492683051,0.5026300558891801,0.716322679418378,408,12497500,0.9875767658405901
0.0029,421.8138705601351,8.423778177549863,0.5001403240177283,0.5026299643819275,0.7163192323696258,411,12497500,0.9878042751914433
0.003,419.6513874385822,8.423549374693955,0.5001404902965159,0.5026298679518522,0.7163156514894293,410,12497500,0.9881237910943467
0.0031,417.7547323309934,8.423320679872671,0.5001406509648857,0.5026297703240252,0.7163119254832505,412,12497500,0.9883965439037684
0.0032,416.2043534056491,8.423092093094805,0.5001408098728618,0.5026296717696851,0.7163080540882422,410,12497500,0.9886250606087591
0.0033,414.6487804197934,8.42286361436916,0.5001409667543313,0.5026295740258679,0.716304039981982,408,12497500,0.9888119055188399
0.0034,413.4486533654613,8.422635243704523,0.5001411213762519,0.5026294773251957,0.7162998814139113,400,12497500,0.9889596618484989
0.0035,412.2295570682041,8.422406981109688,0.5001412761674571,0.5026293819083612,0.7162955789152337,403,12497500,0.9890709148185381
0.0036,410.8121689741862,8.422178826593441,0.5001414308828478,0.5026292880345515,0.7162911314710061,401,12497500,0.9891482362397622
0.0037,409.230064616269,8.421950780164565,0.500141576853113,0.5026291959287451,0.7162865375001611,410,12497500,0.9891941705388163
0.0038,407.4848988114383,8.421722841831841,0.5001417137049275,0.5026291057149528,0.7162818001277854,409,12497500,0.9892112221810295
0.0039,405.5763889086404,8.421495011604046,0.5001418416536196,0.5026290174781617,0.7162769223064321,405,12497500,0.9892018444408813
0.004,403.9918211025022,8.421267289489954,0.5001419609388089,0.5026289260575383,0.7162719049776595,402,12497500,0.9891684294671266
0.0041,402.5407032580445,8.421039675498337,0.5001420717702996,0.5026288316046903,0.7162667510255708,407,12497500,0.9891132995866708
0.004200000000000001,401.1239331131842,8.42081216963796,0.5001421786733805,0.502628732850195,0.7162614633109449,407,12497500,0.9890386997889248
0.004300000000000001,399.826775222769,8.420584771917591,0.5001422817233927,0.5026286346484992,0.7162560339695765,409,12497500,0.9889467913305641
0.0044,398.5672108089144,8.42035748234599,0.5001423717018875,0.5026285370923953,0.7162504660143695,396,12497500,0.9888396463993251
0.004500000000000001,397.4314839338973,8.420130300931913,0.5001424487156241,0.5026284342669816,0.7162447624347104,392,12497500,0.988719243774654
0.004600000000000001,396.2352071322629,8.419903227684115,0.5001425164585612,0.5026283280179483,0.7162389251592567,397,12497500,0.9885874654226445
0.0047,394.9336854650743,8.222012281462357,0.5001425632020613,0.5026282225455558,0.7162329568544052,386,12497500,0.9884460939627291
0.0048,393.6810320245142,8.221740768912815,0.500142589927855,0.5026281201766357,0.7162268601565264,395,12497500,0.9882968109439743
0.004900000000000001,392.3632172728837,8.221469364451245,0.5001425976551019,0.5026280250293174,0.7162206376594121,399,12497500,0.9881411958695581
0.005,390.872692812677,8.221198068088352,0.5001425891264485,0.502627938234276,0.7162142919030408,401,12497500,0.9879807259090246
0.0051,389.3896364118011,8.220926879834836,0.5001425653515683,0.5026278518026852,0.7162078160234503,407,12497500,0.9878189295956089
0.005200000000000001,387.7520186025479,8.220655799701396,0.5001425273627829,0.5026277654721851,0.7162012125388848,409,12497500,0.9876565305944351
0.005300000000000001,386.1001199439557,8.22038482769873,0.5001424836976397,0.5026276800431579,0.7161944826574107,407,12497500,0.9874942322422511
0.0054,384.5632335701553,8.22011396383753,0.5001424351170939,0.502627603368499,0.7161876284592815,389,12497500,0.9873528772583029
0.005500000000000001,382.9614092272074,8.219843208128488,0.5001423866138219,0.5026275349829041,0.7161806507450684,389,12497500,0.9872401845407027
0.005600000000000001,381.3831394461943,8.219572560582289,0.500142335487081,0.5026274744194207,0.71617355144398,390,12497500,0.9872396201815556
0.0057,379.597033461743,8.121481899518502,0.5001422822589773,0.5026274212606343,0.7161663324757365,400,12497500,0.987470487221411
0.0058,377.8642321706923,8.052034020719383,0.5001422274152586,0.5026273692439726,0.7161589957401835,406,12497500,0.9876662804311928
0.005900000000000001,376.1646453133413,8.00463107330375,0.5001421601082328,0.5026273183207702,0.7161515415280406,419,12497500,0.987828946890319
0.006,374.5803080439131,7.973784552886949,0.5001420805801173,0.5026272692340514,0.7161439716571115,408,12497500,0.9879604567884446
0.0061,373.1318696667395,7.955033627984339,0.5001419891136725,0.5026272221162124,0.7161362877209847,410,12497500,0.9880627897685341
0.006200000000000001,371.5361236758394,7.944829345642378,0.5001418860944149,0.5026271830200474,0.716128488621397,421,12497500,0.9881379224217476
0.006300000000000001,370.1965565938201,7.940404197155798,0.5001417736214805,0.5026271518332959,0.7161205689549208,410,12497500,0.9881878169060108
0.0064,368.960738102117,7.939641629601567,0.5001416521812949,0.5026271284212499,0.7161125271333009,406,12497500,0.9882336828552137
0.006500000000000001,367.4761690260156,7.6616528624669,0.5001415268641145,0.502627118633329,0.7161043643991746,411,12497500,0.9882735354475336
0.006600000000000001,366.2513993347421,7.510401896848912,0.5001413981581012,0.502627125528692,0.7160960819693341,417,12497500,0.9883058524123841
0.0067,365.0308832081153,7.510276124658994,0.5001412580621165,0.5026271487123181,0.7160876810003304,418,12497500,0.9883295007165445
0.0068,363.9341692625109,7.51015047850415,0.5001411121471377,0.5026271915444354,0.7160791626328911,421,12497500,0.9883436750051491
0.006900000000000001,362.7427760605972,7.510024958390704,0.5001409609456198,0.5026272533628597,0.7160705259123992,428,12497500,0.9883478456930006
0.007000000000000001,361.702922275063,7.509899564324977,0.5001408048168747,0.502627332315705,0.7160617720798453,421,12497500,0.9883416952813349
0.0071,360.6886742615089,7.509774296313283,0.5001406441389452,0.502627427578941,0.7160529023892319,422,12497500,0.9883250816357347
0.007200000000000001,359.7836177554289,7.509649154361931,0.5001404793731852,0.5026275401465802,0.7160439180537718,415,12497500,0.9882980169412764
0.007300000000000001,358.6183792195587,7.509524138477221,0.5001403109823589,0.5026276691231744,0.7160348201820168,416,12497500,0.9882606490000438
0.0074,357.4397855416522,7.50939924866545,0.5001401449789189,0.5026278135895398,0.7160256098132356,409,12497500,0.9882132438760145
0.007500000000000001,356.0927739934342,7.509274484932909,0.500139981612125,0.5026279725448088,0.7160162879847817,403,12497500,0.988156169830978
0.007600000000000001,354.7348400844304,7.509149847285883,0.5001398196938697,0.5026281500461783,0.7160068557106966,398,12497500,0.9880898824813958
0.0077,353.5044834237575,7.509025335730649,0.500139659094843,0.5026283472805699,0.7159973131139943,392,12497500,0.9880149110984054
0.007800000000000001,352.4004344082289,7.50890095027348,0.5001395027920511,0.5026285583333561,0.7159876612035544,393,12497500,0.9879318459706607
0.007900000000000001,351.4351454279997,7.508776690920643,0.5001393505493598,0.5026287822091731,0.7159778976283612,392,12497500,0.9878413267513925
0.008,350.6782220182183,7.508652557678397,0.5001392021694728,0.5026290179326165,0.7159680234651034,393,12497500,0.9877440317159299
0.0081,349.4909039530623,7.508528550553,0.5001390574659602,0.5026292644350516,0.715958039772834,382,12497500,0.9876406678629412
0.008199999999999999,348.5337474528682,7.508404669550697,0.5001389155002991,0.502629520675908,0.7159479475789847,379,12497500,0.9875319618009163
0.0083,347.5819536915801,7.508280914677734,0.5001387788693549,0.5026297763253662,0.7159377433877486,377,12497500,0.9874186513701382
0.008399999999999999,346.558844376881,7.508157285940345,0.5001386507783062,0.5026300309907655,0.7159274282368784,382,12497500,0.9873014779589099
0.008500000000000001,345.4115597033943,7.508033783344763,0.5001385310530677,0.5026302830166041,0.7159170031498149,377,12497500,0.9871811794806309
0.0086,343.863125450757,7.507910406897213,0.50013841948782,0.5026305272334771,0.7159064691384059,387,12497500,0.9870585623825687
0.008699999999999999,342.5962554701564,7.507787156603912,0.5001383158833814,0.502630763564511,0.7158958236745441,388,12497500,0.9869345544578442
0.008800000000000001,341.4073203253829,7.507664032471075,0.5001382200136721,0.5026309919051344,0.7158850678123062,381,12497500,0.98681000966306
0.0089,340.2747438993463,7.507541034504908,0.5001381382299761,0.5026312094101542,0.7158742025027119,383,12497500,0.9866853667682758
0.008999999999999999,339.4029790739581,7.507418162711613,0.5001380699719701,0.5026314163013226,0.7158632286009206,383,12497500,0.9865606257734916
0.0091,338.3583863399611,7.507295417097385,0.5001380146704926,0.5026316099053297,0.7158521469498459,375,12497500,0.9864357866787073
0.0092,337.1923803867118,7.507172797668413,0.5001379756211545,0.5026317907071181,0.7158409583240611,379,12497500,0.9864285689580832
0.009299999999999999,336.1133773634604,7.50705030443088,0.5001379521263262,0.5026319590722526,0.7158296634186144,383,12497500,0.9864778102630404
0.0094,335.1109084189922,7.506927937390964,0.5001379390210672,0.50263211518799,0.7158182629170954,376,12497500,0.9865296235672455
0.0095,333.9836043136041,7.506805696554836,0.5001379357535103,0.5026322593215039,0.7158067571919785,369,12497500,0.9865815047530161
0.009599999999999999,332.925405148737,7.506683581928662,0.5001379420516333,0.5026323919504492,0.715795146613783,374,12497500,0.9866303397246841
