time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0,0,0,0.5,0.5,2,0,0,2
0.0001,1.360505811465597e-07,0.0009810000000000001,0.5,0.5,1.9999999019,0,0,1.9999999019
0.0002,5.442023245862389e-07,0.001962,0.5,0.5,1.9999997057,0,0,1.9999997057
0.0003,1.224455230319037e-06,0.002943,0.5,0.5,1.9999994114,0,0,1.9999994114
0.0004,2.176809298344956e-06,0.003924,0.5,0.5,1.999999019,0,0,1.999999019
0.0005,3.401264528663993e-06,0.004905000000000001,0.5,0.5,1.9999985285,0,0,1.9999985285
0.0006000000000000001,4.89782092127615e-06,0.005886000000000001,0.5,0.5,1.9999979399,0,0,1.9999979399
0.0007,6.666478476181427e-06,0.006867000000000001,0.5,0.5,1.9999972532,0,0,1.9999972532
0.0008,8.707237193379822e-06,0.007848000000000001,0.5,0.5,1.9999964684,0,0,1.9999964684
0.0009000000000000001,1.102009707287133e-05,0.008829,0.5,0.5,1.9999955855,0,0,1.9999955855
0.001,1.360505811465597e-05,0.009809999999999999,0.5,0.5,1.9999946045,0,0,1.9999946045
0.0011,1.646212031873372e-05,0.010791,0.5,0.5,1.9999935254,0,0,1.9999935254
0.0012,1.959128368510459e-05,0.011772,0.5,0.5,1.9999923482,0,0,1.9999923482
0.0013,2.299254821376858e-05,0.012753,0.5,0.5,1.9999910729,0,0,1.9999910729
0.0014,2.666591390472568e-05,0.013734,0.5,0.5,1.9999896995,0,0,1.9999896995
0.0015,3.061138075797591e-05,0.014715,0.5,0.5,1.999988228,0,0,1.999988228
0.0016,3.482894877351926e-05,0.01569599999999999,0.5,0.5,1.9999866584,0,0,1.9999866584
0.0017,3.931861795135572e-05,0.01667699999999999,0.5,0.5,1.9999849907,0,0,1.9999849907
0.0018,4.40803882914853e-05,0.01765799999999999,0.5,0.5,1.9999832249,0,0,1.9999832249
0.0019,4.9114259793908e-05,0.01863899999999999,0.5,0.5,1.999981361,0,0,1.999981361
0.002,5.442023245862383e-05,0.01961999999999999,0.5,0.5,1.999979399,0,0,1.999979399
0.0021,5.999830628563277e-05,0.02060099999999999,0.5,0.5,1.9999773389,0,0,1.9999773389
