time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0.0001,26.61540427755564,2.847255286132862,0.4981680216583753,0.500410986894645,0.7203160967306469,2725,12497500,0.9849535480363879
0.0002,83.63902528190205,4.698968168911643,0.4981680751511532,0.5004109663822278,0.7203158643685726,2649,12497500,0.9849581098635461
0.0003,150.5497286387215,6.047260896150163,0.4981681286439305,0.500410946330283,0.7203155339065018,2569,12497500,0.9849625735907044
0.0004,216.4413842881245,7.002824891173764,0.4981681821367091,0.5004109268639996,0.7203151053444298,2506,12497500,0.9849878549359875
0.0005,275.2299924260672,7.830049143805622,0.4981682356294882,0.5004109080743143,0.7203145786823621,2473,12497500,0.9850421613421189
0.0006000000000000001,324.052348923513,8.536569041564203,0.4981683016762737,0.5004108900233862,0.7203139529102394,2438,12497500,0.9850958378745426
0.0007000000000000001,362.0619266906972,9.130097519074534,0.4981683808750831,0.5004108662550681,0.7203132279759176,2389,12497500,0.9851471965662282
0.0008,389.0360012397545,9.618182374130972,0.4981684734827206,0.5004108401102897,0.7203124038598451,2322,12497500,0.9851949342931896
0.0009000000000000001,405.7576518589392,10.00809611153479,0.4981685710474014,0.5004108133796462,0.72031148056977,2232,12497500,0.9852380810804324
0.001,414.1139187673567,10.30681014572387,0.4981686731877588,0.5004107785195732,0.7203104460886524,1526,12497500,0.9854914824044597
0.0011,418.698746638807,10.52137302866387,0.4981687794034761,0.5004107355437099,0.7203092923564222,1279,12497500,0.9859299275781422
0.0012,421.0090181490082,10.65897538707041,0.4981688906533324,0.5004106862494289,0.7203080197052188,1091,12497500,0.9863294337057966
0.0013,421.5395516442582,10.72628825859543,0.4981690063602697,0.5004106307764333,0.7203066286077284,922,12497500,0.9866907717453517
0.0014,421.072797447238,10.72963536364326,0.4981691259495744,0.5004105693182265,0.7203051119934558,808,12497500,0.9870148949140969
0.0015,420.104682187582,10.7301379542359,0.4981692488666997,0.5004105021187051,0.7203034662760754,694,12497500,0.9873029069126189
0.0016,419.1137442884008,10.73064061097218,0.4981693617004625,0.5004104299636197,0.7203016907118414,601,12497500,0.9875560355113565
0.0017,417.9688068723545,10.73114333384281,0.4981694665666589,0.5004103449607024,0.7202997865255714,530,12497500,0.9877756088313671
0.0018,416.8732782129473,10.7316461228385,0.4981695620301358,0.5004102507302194,0.7202977550150083,473,12497500,0.9879630344104741
0.0019,415.6866416424119,10.73214897794995,0.4981696480586599,0.5004101544842681,0.7202955975373712,437,12497500,0.9881197810040435
0.002,414.2511133692085,10.73265189916787,0.4981697246749379,0.500410059577979,0.7202933154969436,424,12497500,0.9882473629638766
0.0021,412.3620197471048,10.73315488648297,0.4981697871456726,0.500409963960047,0.7202909103335723,416,12497500,0.9883473269652928
0.0022,410.4819387365358,10.73365793988596,0.4981698357359518,0.5004098721673599,0.7202883829846735,413,12497500,0.9884212408068795
0.0023,408.5724741070792,10.73416105936755,0.4981698707653421,0.5004097847526966,0.720285734941155,397,12497500,0.9884706839849521
0.0024,406.8977607679219,10.73466424491843,0.4981698928136977,0.500409702178257,0.7202829617850357,390,12497500,0.9884972397410933
0.0025,404.9151682378395,10.73516749652933,0.4981699089470421,0.5004096248320988,0.7202800651779572,386,12497500,0.9885024882922162
0.0026,402.8459600315983,10.73567081419095,0.4981699295087451,0.5004095570391172,0.7202770435303595,387,12497500,0.9884880009748535
0.0027,401.1241772225474,10.73617419789401,0.4981699544468574,0.5004095031917415,0.7202738960008748,383,12497500,0.9884553350656953
0.0028,399.7742263586932,10.73667764762921,0.4981699843392748,0.5004094667471841,0.7202706215010838,375,12497500,0.9884060290760359
0.0029,398.3038598731485,10.73718116338726,0.4981700190743991,0.5004094474929746,0.7202672155350947,372,12497500,0.9883415983563512
0.003,396.7161449398714,10.73768474515889,0.498170058526569,0.5004094451444818,0.7202636795735954,367,12497500,0.9882635308866234
0.0031,395.2848628995403,10.73818839293479,0.4981701025592222,0.5004094593527401,0.7202600151926677,366,12497500,0.9881732831664699
0.0032,393.9524565670767,10.73869210670569,0.4981701510276409,0.5004094897155147,0.7202562240466932,362,12497500,0.9880722761550778
0.0033,392.1158308600405,10.43669220416503,0.4981702037798207,0.5004095468899759,0.7202522983838555,361,12497500,0.9879619921007459
0.0034,390.6483955888747,10.16418802448892,0.4981702654246006,0.5004096300639482,0.7202482402338617,365,12497500,0.9878439013575856
0.0035,389.3518233206958,9.921652309933199,0.4981703356664654,0.5004097416535254,0.7202440516478044,357,12497500,0.987719390289384
0.0036,387.8133574320599,9.708960405049487,0.4981704143449583,0.5004098806311824,0.7202397238248225,362,12497500,0.9875897605238809
0.0037,386.3723546237891,9.525422496517471,0.4981705013703951,0.5004100459145214,0.720235259185089,358,12497500,0.9874562287724694
0.0038,384.9467583215376,9.369836660001546,0.4981705966204305,0.5004102328254582,0.7202306601758941,365,12497500,0.9873199271663894
0.0039,383.5828824237681,9.24056071163943,0.4981706999442802,0.500410440222676,0.7202259292360689,362,12497500,0.9873768529967885
0.004,381.9880415927549,9.135598582143025,0.498170808417029,0.5004106734810224,0.7202210632079524,360,12497500,0.9874961571895359
0.0041,380.3235187144096,9.052695282344622,0.4981709219119953,0.5004109311604176,0.7202160645241908,364,12497500,0.9875990300074255
0.004200000000000001,378.5718748240825,8.989433825642575,0.4981710403088474,0.5004112101832454,0.7202109354963788,370,12497500,0.9876853229260693
0.004300000000000001,377.1498963912223,8.943327780345724,0.4981711634715271,0.5004115091725587,0.7202056784091749,376,12497500,0.9877550499008608
0.0044,375.5444580153135,8.911904264347038,0.4981712912479126,0.5004118267603614,0.7202002940628994,373,12497500,0.9878083625821231
0.004500000000000001,374.1809291007568,8.89277383006575,0.4981714264912034,0.5004121615933427,0.7201947832720194,373,12497500,0.9878455297053529
0.004600000000000001,372.7753262864456,8.883685447374699,0.4981715710527678,0.5004125123237322,0.7201891472642207,372,12497500,0.9878669200053677
