time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0,0.008716133537832167,0.07577283981152259,0.4683498136402129,0.4963835583471698,0.7093247203486435,0,0,0.9843503104626101
0.0001,0.1058318563838138,1.085035714630377,0.4683501984439433,0.4963835908135065,0.7093249926536711,5,19900,0.9843516835964216
0.0002,0.3282889502994062,1.947809095346982,0.4683505832476733,0.4963836232798429,0.7093251668586986,5,19900,0.984352958630233
0.0003,0.5977066733681859,2.635230378489597,0.4683509680514036,0.4963836557461785,0.7093252429637262,5,19900,0.9843541355640444
0.0004,0.8639920139425343,3.170065424059451,0.4683513528551334,0.4963836882125154,0.7093252209687545,5,19900,0.9843552143978559
0.0005,1.097476652426035,3.572959061706432,0.4683517376588637,0.4963837206788519,0.7093251008737818,5,19900,0.9843561951316674
0.0006000000000000001,1.282871074705625,3.862477929295279,0.4683521224625936,0.496383753145188,0.7093248826788086,5,19900,0.9843570777654789
0.0007,1.414681247895059,4.055246662988206,0.468352507266324,0.4963837856115242,0.7093245663838367,5,19900,0.9843578622992903
0.0008,1.49378983013771,4.166092305995176,0.4683528920700539,0.4963838180778608,0.7093241519888643,5,19900,0.9843585487331018
0.0009000000000000001,1.524954113484541,4.208186419873589,0.4683532768737843,0.4963838505441973,0.7093236394938909,5,19900,0.9843591370669132
0.001,1.524991495023304,4.207469198841148,0.4683536616775142,0.4963838830105337,0.7093230288989187,0,19900,0.9843596273007247
0.0011,1.525035406989963,4.206752084293468,0.4683540464812447,0.49638391547687,0.7093223202039465,0,19900,0.9843600194345361
0.0012,1.525085849384516,4.206035076285016,0.4683544312849744,0.4963839479432068,0.7093215134089738,0,19900,0.9843603134683475
0.0013,1.525142822206966,4.205318174870289,0.4683548160887046,0.4963839804095426,0.7093206085140017,0,19900,0.9843605094021589
0.0014,1.525206325457309,4.204601380103808,0.4683552008924346,0.4963840128758791,0.7093196055190286,0,19900,0.9843606072359704
0.0015,1.525276359135546,4.203884692040128,0.4683555856961648,0.4963840453422156,0.7093185044240565,0,19900,0.9843606069697819
0.0016,1.52535292324168,4.20316811073383,0.4683559704998951,0.4963840778085517,0.7093173052290835,0,19900,0.9843605086035934
0.0017,1.525436017775709,4.202451636239525,0.4683563553036252,0.4963841102748884,0.7093160079341113,0,19900,0.9843603121374048
0.0018,1.525525642737633,4.201735268611855,0.4683567401073555,0.4963841427412249,0.7093146125391389,0,19900,0.9843600175712163
0.0019,1.52562179812745,4.201592543859221,0.4683571249110855,0.4963841752075611,0.7093131190441671,0,19900,0.9843596249050277
0.002,1.525724483945164,4.202307126876301,0.4683575097148155,0.4963842076738975,0.7093115274491943,0,19900,0.9843591341388391
0.0021,1.525833700190773,4.20302181737132,0.4683578945185456,0.4963842401402339,0.7093098377542213,0,19900,0.9843585452726505
0.0022,1.525949446864276,4.203736615289456,0.468358279322276,0.4963842726065702,0.7093080499592493,0,19900,0.9843578583064619
0.0023,1.526071723965676,4.204451520575925,0.4683586641260064,0.4963843050729067,0.7093061640642767,0,19900,0.9843570732402734
0.0024,1.526200531494969,4.205166533175965,0.4683590489297361,0.4963843375392427,0.7093041800693044,0,19900,0.9843561900740849
0.0025,1.526335869452159,4.205881653034845,0.4683594337334662,0.496384370005579,0.7093020979743315,0,19900,0.9843552088078964
0.0026,1.526477737837242,4.206596880097862,0.4683598185371961,0.4963844024719155,0.7092999177793592,0,19900,0.9843541294417079
0.0027,1.52662613665022,4.207312214310345,0.4683602033409265,0.4963844349382521,0.7092976394843866,0,19900,0.9843529519755193
0.0028,1.526781065891095,4.20802765561765,0.4683605881446564,0.4963844674045881,0.7092952630894139,0,19900,0.9843516764093307
0.0029,1.526942525559863,4.208743203965161,0.4683609729483867,0.496384499870925,0.7092927885944418,0,19900,0.9843503027431422
0.003,1.527110515656527,4.209458859298293,0.4683613577521168,0.4963845323372612,0.7092902159994687,0,19900,0.9843488309769536
0.0031,1.527285036181086,4.210174621562487,0.4683617425558469,0.4963845648035973,0.7092875453044964,0,19900,0.984347261110765
0.0032,1.52746608713354,4.210890490703218,0.4683621273595775,0.4963845972699334,0.7092847765095243,0,19900,0.9843455931445765
0.0033,1.52765366851389,4.211606466665985,0.4683625121633073,0.4963846297362704,0.7092819096145516,0,19900,0.984343827078388
0.0034,1.527847780322134,4.212322549396318,0.4683628969670374,0.4963846622026066,0.7092789446195794,0,19900,0.9843419629121994
