time,kinetic_energy,max_speed,center_of_mass_x,center_of_mass_y,center_of_mass_z,active_contacts,candidate_pairs,max_height
0,0,0,0.5,0.5,2,0,0,2
0.0005,3.401264528663993e-06,0.004905000000000001,0.5,0.5,1.9999975475,0,0,1.9999975475
0.001,1.360505811465597e-05,0.009810000000000001,0.5,0.5,1.9999926425,0,0,1.9999926425
0.0015,3.061138075797594e-05,0.014715,0.5,0.5,1.999985285,0,0,1.999985285
0.002,5.442023245862389e-05,0.01962,0.5,0.5,1.999975475,0,0,1.999975475
0.0025,8.503161321659982e-05,0.024525,0.5,0.5,1.9999632125,0,0,1.9999632125
0.003,0.0001224455230319037,0.02943,0.5,0.5,1.9999484975,0,0,1.9999484975
0.0035,0.0001666619619045357,0.034335,0.5,0.5,1.99993133,0,0,1.99993133
0.004,0.0002176809298344955,0.03924,0.5,0.5,1.99991171,0,0,1.99991171
0.004500000000000001,0.0002755024268217834,0.044145,0.5,0.5,1.9998896375,0,0,1.9998896375
0.005,0.0003401264528663993,0.04905,0.5,0.5,1.9998651125,0,0,1.9998651125
0.0055,0.0004115530079683431,0.053955,0.5,0.5,1.999838135,0,0,1.999838135
0.006,0.0004897820921276149,0.05886,0.5,0.5,1.999808705,0,0,1.999808705
0.006500000000000001,0.0005748137053442146,0.063765,0.5,0.5,1.9997768225,0,0,1.9997768225
0.007,0.0006666478476181427,0.06867000000000001,0.5,0.5,1.9997424875,0,0,1.9997424875
0.0075,0.0007652845189493986,0.07357500000000002,0.5,0.5,1.9997057,0,0,1.9997057
0.008,0.0008707237193379824,0.07848000000000002,0.5,0.5,1.99966646,0,0,1.99966646
0.008500000000000001,0.0009829654487838945,0.08338500000000003,0.5,0.5,1.9996247675,0,0,1.9996247675
0.009000000000000001,0.001102009707287134,0.08829000000000004,0.5,0.5,1.9995806225,0,0,1.9995806225
0.0095,0.001227856494847702,0.09319500000000004,0.5,0.5,1.999534025,0,0,1.999534025
0.01,0.001360505811465598,0.09810000000000005,0.5,0.5,1.999484975,0,0,1.999484975
0.0105,0.001499957657140822,0.1030050000000001,0.5,0.5,1.9994334725,0,0,1.9994334725
0.011,0.001646212031873374,0.1079100000000001,0.5,0.5,1.9993795175,0,0,1.9993795175
0.0115,0.001799268935663254,0.1128150000000001,0.5,0.5,1.99932311,0,0,1.99932311
0.012,0.001959128368510462,0.1177200000000001,0.5,0.5,1.99926425,0,0,1.99926425
0.0125,0.002125790330414998,0.1226250000000001,0.5,0.5,1.9992029375,0,0,1.9992029375
